NumEntries       104
######################### 1 #########################
2dfxType         COVERPOINT
Position         -19.141724 16.113037 -136.079010
XY               1.000000 -0.000000
Type             2
######################### 2 #########################
2dfxType         COVERPOINT
Position         -17.941650 17.313049 -136.079010
XY               -0.000001 -1.000000
Type             1
######################### 3 #########################
2dfxType         COVERPOINT
Position         17.940674 17.313049 -136.079010
XY               -0.000001 -1.000000
Type             2
######################### 4 #########################
2dfxType         COVERPOINT
Position         19.140747 16.113037 -136.079010
XY               -1.000000 -0.000000
Type             1
######################### 5 #########################
2dfxType         COVERPOINT
Position         -19.141724 -16.101196 -136.079010
XY               1.000000 -0.000000
Type             1
######################### 6 #########################
2dfxType         COVERPOINT
Position         -17.941650 -17.301208 -136.079010
XY               0.000000 1.000000
Type             2
######################### 7 #########################
2dfxType         COVERPOINT
Position         19.140747 -16.101196 -136.079010
XY               -1.000000 -0.000000
Type             2
######################### 8 #########################
2dfxType         COVERPOINT
Position         17.940674 -17.301208 -136.079010
XY               0.000000 1.000000
Type             1
######################### 9 #########################
2dfxType         COVERPOINT
Position         -25.724854 -21.988403 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 10 #########################
2dfxType         COVERPOINT
Position         -27.871948 -23.960754 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 11 #########################
2dfxType         COVERPOINT
Position         -24.524780 -23.960754 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 12 #########################
2dfxType         COVERPOINT
Position         -25.724854 -25.160767 -136.083725
XY               0.000000 1.000000
Type             1
######################### 13 #########################
2dfxType         COVERPOINT
Position         -25.725464 -14.126770 -136.083740
XY               -0.000001 -1.000000
Type             2
######################### 14 #########################
2dfxType         COVERPOINT
Position         -27.873291 -16.099365 -136.083740
XY               1.000000 -0.000000
Type             1
######################### 15 #########################
2dfxType         COVERPOINT
Position         -24.525391 -16.099365 -136.083740
XY               -1.000000 -0.000000
Type             2
######################### 16 #########################
2dfxType         COVERPOINT
Position         -25.725464 -17.299377 -136.083740
XY               0.000000 1.000000
Type             1
######################### 17 #########################
2dfxType         COVERPOINT
Position         -25.725830 -6.267395 -136.087280
XY               -0.000001 -1.000000
Type             2
######################### 18 #########################
2dfxType         COVERPOINT
Position         -27.874634 -8.234619 -136.087280
XY               1.000000 -0.000000
Type             1
######################### 19 #########################
2dfxType         COVERPOINT
Position         -24.525757 -8.234619 -136.087280
XY               -1.000000 -0.000000
Type             2
######################### 20 #########################
2dfxType         COVERPOINT
Position         -25.725830 -9.434631 -136.087280
XY               0.000000 1.000000
Type             1
######################### 21 #########################
2dfxType         COVERPOINT
Position         -25.725830 1.590881 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 22 #########################
2dfxType         COVERPOINT
Position         -27.874634 -0.377930 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 23 #########################
2dfxType         COVERPOINT
Position         -24.525757 -0.377930 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 24 #########################
2dfxType         COVERPOINT
Position         -25.725830 -1.577942 -136.083725
XY               0.000000 1.000000
Type             1
######################### 25 #########################
2dfxType         COVERPOINT
Position         -25.725830 9.449158 -136.083725
XY               -0.000001 -1.000000
Type             2
######################### 26 #########################
2dfxType         COVERPOINT
Position         -27.874634 7.480347 -136.083725
XY               1.000000 -0.000000
Type             1
######################### 27 #########################
2dfxType         COVERPOINT
Position         -24.525757 7.480347 -136.083725
XY               -1.000000 -0.000000
Type             2
######################### 28 #########################
2dfxType         COVERPOINT
Position         -25.725830 6.280334 -136.083725
XY               0.000000 1.000000
Type             1
######################### 29 #########################
2dfxType         COVERPOINT
Position         -25.725952 17.308472 -136.086395
XY               -0.000001 -1.000000
Type             2
######################### 30 #########################
2dfxType         COVERPOINT
